Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
1365763440,75,75,"74,5",75,"59,21675441","4431,1805369","74,829844713"
1365763500,75,75,"74,53","74,53","15,0816739","1130,4999064","74,958516802"
1365763560,75,75,75,75,"96,43139184","7232,354388",75
1365763620,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365763680,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365763740,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365763800,77,77,"74,06",75,"7,12084463","534,24914725","75,02609241"
1365763860,75,"75,02",75,75,"27,45630329","2059,223065","75,000011592"
1365763920,"76,8","84,48","75,01",76,"17,82510057","1345,160948","75,464424039"
1365763980,"74,06","76,01","74,06","76,01","11,75799376","892,5551057","75,910493228"
1365764040,"77,99","77,99","77,99","77,99","0,51032184","39,800000302","77,99"
1365764100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365764160,"76,05","76,05","76,05","76,05",511,"38,86155","76,05"
1365764220,"76,05",77,"76,05",77,"10,09304619","772,39094325","76,52703938"
1365764280,"76,01","76,01","76,01","76,01","0,38975","29,6248975","76,01"
1365764340,"76,01",78,76,"76,01","3,58818744","278,58563518","77,639655072"
1365764400,"77,73","77,8","76,01","77,72","9,35279445","725,2851714","77,547429838"
1365764460,"76,05","76,05","76,05","76,05","0,34515","26,2486575","76,05"
1365764520,"76,05","76,05","76,05","76,05","0,34",25857,"76,05"
1365764580,"77,68","77,68","76,02","77,67","1,45507908","111,37944511","76,545286535"
1365764640,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365764700,"76,65","76,65",75,75,"28,31544331","2143,9720697","75,717411388"
1365764760,"77,03","77,03",75,75,"5,06465014","380,50500028","75,12957258"
1365764820,"77,03","77,03",75,77,"2,56465014","193,48000028","75,441089319"
1365764880,"84,7","84,7","74,99",77,"6,69277","505,2273291","75,488524049"
1365764940,77,77,"74,9",75,"76,12943936","5813,5051505","76,363430486"
1365765000,75,77,"74,9",77,"48,26447418","3645,3542979","75,528727078"
1365765060,77,77,77,77,"0,74","56,98",77
1365765120,"75,05",77,"75,05",77,"8,2","631,01","76,952439024"
1365765180,"75,05","76,99","74,51","76,99","12,35262403","924,86415648","74,871877767"
1365765240,"76,99","76,99","76,99","76,99",2,"153,98","76,99"
1365765300,"76,99","76,99","76,99","76,99","3,16703468","243,83000001","76,99"
1365765360,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365765420,"76,5","76,5","76,02","76,02","35,15799305","2679,161676","76,203487275"
1365765480,"76,02","76,02","76,02","76,02","0,1065509","8,099999418","76,02"
1365765540,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365765600,"76,02","76,02","76,02","76,02","0,8",60816,"76,02"
1365765660,"76,02","76,02","76,02","76,02",3,"228,06","76,02"
1365765720,"75,09","75,09",75,"75,09","28,65326163","2151,3034521","75,080578257"
1365765780,"75,09","75,09","75,09","75,09","5,31340837","398,9838345","75,09"
1365765840,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365765900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365765960,"75,1","75,1",75,"75,1","3,06486184","230,07112418","75,067372102"
1365766020,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1365766080,"75,98","75,98","75,98","75,98","0,12963938","9,8500000924","75,98"
1365766140,NaN,NaN,NaN,NaN,NaN,NaN,NaN
